Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
4/8/2025 15:00:38,Under 18,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,Yes,No,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Neutral,No
4/8/2025 15:00:38,35 - 44,Not familiar at all,No,Online shopping recommendations,Neutral,Not sure,Notsure,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Somewhat positive,No
4/8/2025 15:00:39,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Education,Greater accessibility for people with disabilities,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Somewhat negative,Yes
4/8/2025 15:00:39,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Health care,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/8/2025 15:00:40,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Transportation,Improved healthcare,Privacy issues,"No, AI should be developed freely",Improve,Neutral,No
4/8/2025 15:00:40,45 - 54,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,Notsure,Transportation,Improved healthcare,AI becoming too autonomous,"No, AI should be developed freely",Improve,Somewhat positive,No
4/8/2025 15:00:41,25 - 34,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,Notsure,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Very negative,No
4/8/2025 15:00:42,35 - 44,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Notsure,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Neutral,Yes
4/8/2025 15:00:42,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Transportation,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Neither,Neutral,Yes
4/8/2025 15:00:43,45 - 54,Somewhat familiar,No,Online shopping recommendations,Neutral,Yes,No,Transportation,Increased convenience,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Very positive,No
4/8/2025 15:00:44,35 - 44,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,No,Notsure,Education,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Unsure,Somewhat positive,No
4/8/2025 15:00:44,35 - 44,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)",Unsure,Worsen,Somewhat negative,No
4/8/2025 15:00:45,35 - 44,Very familiar,No,"Email filtering (e.g., spam detection)",Completely trust,Not sure,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Very positive,No
4/8/2025 15:00:46,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,Not sure,Notsure,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Very positive,No
4/8/2025 15:00:47,45 - 54,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Very negative,No
4/8/2025 15:00:48,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Neutral,No,Notsure,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Neutral,No
4/8/2025 15:00:49,35 - 44,Very familiar,Yes,Online shopping recommendations,Somewhat distrust,Not sure,Notsure,Health care,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Improve,Somewhat negative,No
4/8/2025 15:00:50,55 -64,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Not sure,Notsure,Business and finance,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Improve,Very negative,No
4/8/2025 15:00:51,18 - 24,Very familiar,No,Online shopping recommendations,Somewhat distrust,No,Notsure,Education,Increased convenience,"Security risks (e.g., AI hacking)",Unsure,Worsen,Very negative,No
4/8/2025 15:00:51,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,No,Transportation,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,No
4/8/2025 15:00:52,45 - 54,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Notsure,Entertainment,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Neither,Somewhat negative,Yes
4/8/2025 15:00:52,45 - 54,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,No,Education,Improved healthcare,AI becoming too autonomous,"Yes, strict regulations",Neither,Somewhat negative,Yes
4/8/2025 15:00:53,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,No,Transportation,Greater accessibility for people with disabilities,AI becoming too autonomous,Unsure,Neither,Somewhat negative,Yes
4/8/2025 15:00:54,55 -64,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Business and finance,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Very positive,Yes
4/8/2025 15:00:54,35 - 44,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Yes,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Somewhat negative,No
4/8/2025 15:00:55,45 - 54,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Not sure,No,Health care,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Somewhat positive,Yes
4/8/2025 15:00:56,45 - 54,Not familiar at all,No,Online shopping recommendations,Neutral,No,Notsure,Health care,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Neither,Neutral,No
4/8/2025 15:00:57,Under 18,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Not sure,No,Health care,Better education and learning opportunities,Job loss and unemployment,"Yes, strict regulations",Improve,Neutral,No
4/8/2025 15:00:57,35 - 44,Very familiar,Yes,Online shopping recommendations,Somewhat trust,No,No,Business and finance,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,No
4/8/2025 15:00:58,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Somewhat positive,Yes
4/8/2025 15:00:59,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Very positive,No
4/8/2025 15:00:59,25 - 34,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,No,No,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Neutral,Yes
4/8/2025 15:01:00,35 - 44,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely trust,Not sure,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Very positive,Yes
4/8/2025 15:01:01,55 -64,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Notsure,Business and finance,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/8/2025 15:01:01,35 - 44,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,Notsure,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Very negative,No
4/8/2025 15:01:02,45 - 54,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,No,Business and finance,Improved healthcare,Privacy issues,Unsure,Neither,Neutral,No
4/8/2025 15:01:03,45 - 54,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Not sure,No,Entertainment,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Neutral,No
4/8/2025 15:01:03,25 - 34,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Education,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Improve,Somewhat negative,Yes
4/8/2025 15:01:04,25 - 34,Not familiar at all,Yes,Online shopping recommendations,Neutral,Yes,No,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat negative,No
4/8/2025 15:01:05,55 -64,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Not sure,Notsure,Entertainment,Increased convenience,Privacy issues,"No, AI should be developed freely",Neither,Very negative,No
4/8/2025 15:01:05,45 - 54,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/8/2025 15:01:06,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Somewhat trust,No,No,Transportation,More efficient work processes,Privacy issues,Unsure,Unsure,Very positive,Yes
4/8/2025 15:01:07,18 - 24,Somewhat familiar,No,Online shopping recommendations,Neutral,Not sure,Notsure,Health care,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
4/8/2025 15:01:07,55 -64,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,Not sure,Yes,Education,Increased convenience,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Neutral,Yes
4/8/2025 15:01:08,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Somewhat trust,Yes,No,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/8/2025 15:01:09,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,Yes,Business and finance,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Very negative,Yes
4/8/2025 15:01:09,25 - 34,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,Not sure,Notsure,Education,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
4/8/2025 15:01:10,Under 18,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Notsure,Transportation,Increased convenience,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/8/2025 15:01:11,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Not sure,Notsure,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Somewhat negative,Yes
4/8/2025 15:01:12,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,Not sure,Yes,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Somewhat positive,No
4/8/2025 15:01:12,35 - 44,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Yes,No,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Very negative,No
4/8/2025 15:01:13,35 - 44,Very familiar,Yes,Online shopping recommendations,Neutral,No,No,Entertainment,Increased convenience,Privacy issues,"No, AI should be developed freely",Improve,Somewhat negative,Yes
4/8/2025 15:01:14,25 - 34,Not familiar at all,No,Online shopping recommendations,Completely distrust,No,No,Education,More efficient work processes,Privacy issues,"No, AI should be developed freely",Neither,Neutral,Yes
4/8/2025 15:01:14,35 - 44,Very familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)",Unsure,Neither,Very positive,No
4/8/2025 15:01:15,25 - 34,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,Yes,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Somewhat negative,No
4/8/2025 15:01:16,18 - 24,Somewhat familiar,No,Online shopping recommendations,Neutral,No,Notsure,Business and finance,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Somewhat negative,Yes
4/8/2025 15:01:16,55 -64,Somewhat familiar,Yes,Online shopping recommendations,Somewhat trust,No,Notsure,Entertainment,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Neutral,No
4/8/2025 15:01:17,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Health care,More efficient work processes,Privacy issues,"No, AI should be developed freely",Neither,Somewhat positive,No
4/8/2025 15:01:17,45 - 54,Somewhat familiar,No,Online shopping recommendations,Neutral,Yes,No,Transportation,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Unsure,Very positive,Yes
4/8/2025 15:01:18,35 - 44,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,Notsure,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Neutral,Yes
4/8/2025 15:01:19,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Very negative,Yes
4/8/2025 15:01:19,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Neutral,No,No,Business and finance,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
4/8/2025 15:01:20,55 -64,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Education,Increased convenience,Job loss and unemployment,"No, AI should be developed freely",Unsure,Very positive,Yes
